HOTEL_NAME,HOTEL_RATING,CITY,HOTEL_TYPE,BREAKFAST_INCLUDED,WIFI_INCLUDED,PARKING_INCLUDED,FACILITY_1,FACILITY_2,FACILITY_3,FACILITY_4,FACILITY_5,HOTEL_PRICE
Sudima Auckland City,4.3,Auckland,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Plant-based dining,Gym,Wellness rooms,Bar,Airport shuttle,240
Eichardt's Private Hotel,4.8,Queenstown,Luxury lodge,Free breakfast,Free Wi-Fi,Valet parking,Lakefront bar,Heli transfers,Spa,Private chefs,Butler service,780
Matakauri Lodge,4.9,Queenstown,Luxury lodge,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Spa,Helicopter pad,Hiking trails,Fine dining,890
QT Queenstown,4.6,Queenstown,Boutique hotel,Breakfast available,Free Wi-Fi,Paid parking,Infinity pool,Bazaar dining,Gym,Ski concierge,Bar,420
Hilton Queenstown Resort,4.4,Queenstown,5-star resort,Breakfast available,Free Wi-Fi,Paid parking,Indoor pool,Spa,Water taxi,Fitness center,Fireplace lounges,360
Kamana Lakehouse,4.5,Queenstown,Boutique hotel,Breakfast available,Free Wi-Fi,Free parking,Hot tub deck,Restaurant,Bar,Ski storage,Concierge,340
The Rees Hotel Queenstown,4.6,Queenstown,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Private wharf,Library,Wine cellar,Shuttle,Gym,380
The George Christchurch,4.7,Christchurch,Luxury boutique,Free breakfast,Free Wi-Fi,Free parking,Fine dining,Bikes,Garden,Event rooms,Concierge,420
Crowne Plaza Christchurch,4.4,Christchurch,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,City views,Fitness center,Meeting rooms,Cafe,Bar,260
Fable Christchurch,4.5,Christchurch,Boutique hotel,Breakfast available,Free Wi-Fi,Paid parking,Tea lounge,Fitness center,Meeting space,Restaurant,Concierge,280
Novotel Christchurch Cathedral Square,4.3,Christchurch,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Fitness center,Meeting rooms,Restaurant,Bar,Business center,240
Sudima Christchurch City,4.5,Christchurch,4-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Wellness suites,Spa,Gym,Bar,Restaurant,300
The Observatory Hotel,4.6,Christchurch,Boutique hotel,Free breakfast,Free Wi-Fi,Paid parking,Library,Art gallery,Garden,Concierge,Tea room,310
The Palms Denarau,4.3,Nadi,Serviced apartments,Breakfast available,Free Wi-Fi,Free parking,Outdoor pool,Kitchenette,Tour desk,BBQ area,Airport shuttle,280
Sofitel Fiji Resort & Spa,4.5,Nadi,Beach resort,Breakfast available,Free Wi-Fi,Free parking,Adults-only pool,Spa,Kids club,Water sports,Cultural shows,430
Sheraton Fiji Golf & Beach Resort,4.5,Nadi,Beach resort,Free breakfast,Free Wi-Fi,Free parking,Golf course,Spa,Pool,Kids club,Waterfront dining,410
Hilton Fiji Beach Resort,4.4,Nadi,Beach resort,Breakfast available,Free Wi-Fi,Free parking,Seven pools,Spa,Kids club,Adults beach,Fitness center,390
Radisson Blu Resort Fiji,4.5,Nadi,Family resort,Breakfast available,Free Wi-Fi,Free parking,Lagoon pools,Whitewater tunnel,Spa,Kids club,Restaurants,360
Tokatoka Resort Hotel,4.1,Nadi,Airport resort,Breakfast available,Free Wi-Fi,Free parking,Free airport shuttle,Pool,Waterslide,Restaurant,Conference rooms,190
Shangri-La Colombo,4.6,Colombo,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Horizon lounge,Spa,Pool,Fitness center,Retail galleria,320
Galle Face Hotel,4.5,Colombo,Heritage hotel,Breakfast available,Free Wi-Fi,Free parking,Oceanfront pool,Spa,Museum,Whisky bar,Sunset terrace,260
The Kingsbury Colombo,4.4,Colombo,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Sky lounge,Spa,Pool,Fitness center,Business center,240
Cinnamon Grand Colombo,4.5,Colombo,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Two pools,Spa,14 restaurants,Fitness center,Event halls,280
Marino Beach Colombo,4.6,Colombo,4-star hotel,Breakfast available,Free Wi-Fi,Free parking,Infinity pool,Spa,Gym,Sky lounge,Shopping,210
Jetwing Colombo Seven,4.4,Colombo,4-star hotel,Breakfast available,Free Wi-Fi,Free parking,Rooftop pool,Spa,Fitness center,Restaurant,Co-working,190
The Taj Mahal Palace Mumbai,4.8,Mumbai,Luxury heritage hotel,Breakfast available,Free Wi-Fi,Valet parking,Sea lounge,Spa,Pool,Butler service,Harbor views,21500
The St. Regis Mumbai,4.7,Mumbai,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Penthouse bar,Spa,Infinity pool,Butler service,Executive lounge,16500
Trident Nariman Point,4.6,Mumbai,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Ocean-view pool,Spa,Fitness center,Club lounge,Business center,14500
ITC Grand Central Mumbai,4.5,Mumbai,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Kaya Kalp spa,Pool,Fitness center,Library,Club ITC,14000
Sofitel Mumbai BKC,4.5,Mumbai,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Spa,Pool,Fitness center,Club Millésime,Event halls,13500
The Oberoi Mumbai,4.7,Mumbai,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Ocean-view lobby,Spa,Outdoor pool,Champagne lounge,Business center,17500
The Leela Palace New Delhi,4.8,Delhi,Luxury hotel,Breakfast available,Free Wi-Fi,Valet parking,Rooftop pool,Spa,Art collection,Butler service,Club lounge,18500
Taj Palace New Delhi,4.7,Delhi,Luxury hotel,Breakfast available,Free Wi-Fi,Free parking,Heritage gardens,Spa,Pool,Fitness center,Executive lounge,14500
The Imperial New Delhi,4.7,Delhi,Heritage hotel,Breakfast available,Free Wi-Fi,Free parking,Art deco pool,Spa,Salon,Museum corridors,Fine dining,16000
Andaz Delhi,4.5,Delhi,Lifestyle hotel,Breakfast available,Free Wi-Fi,Free parking,Spa,Outdoor pool,Gallery,Club lounge,Event spaces,12000
JW Marriott New Delhi Aerocity,4.6,Delhi,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Quan spa,Pool,Fitness center,Executive lounge,Meeting rooms,13500
ITC Maurya New Delhi,4.6,Delhi,Luxury hotel,Breakfast available,Free Wi-Fi,Free parking,Royal Vega dining,Spa,Pool,Fitness center,Club ITC,14000
The Leela Palace Bengaluru,4.8,Bengaluru,Luxury hotel,Breakfast available,Free Wi-Fi,Free parking,Palace gardens,Spa,Pool,Club lounge,Fine dining,15000
Taj West End,4.6,Bengaluru,Heritage resort,Breakfast available,Free Wi-Fi,Free parking,Botanical grounds,Spa,Pool,Tennis courts,Afternoon tea,14000
Conrad Bengaluru,4.6,Bengaluru,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Infinity pool,Spa,Fitness center,Executive lounge,City views,13500
Shangri-La Bengaluru,4.5,Bengaluru,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Horizon lounge,Spa,Pool,Fitness center,Sky bar,12500
JW Marriott Hotel Bengaluru,4.5,Bengaluru,5-star hotel,Breakfast available,Free Wi-Fi,Paid parking,Spa,Pool,Fitness center,Executive lounge,Event halls,13000
Aloft Bengaluru Cessna Business Park,4.3,Bengaluru,4-star hotel,Breakfast available,Free Wi-Fi,Free parking,Re:mix lounge,Pool,Fitness center,Pool table,Airport shuttle,8500
ITC Grand Chola Chennai,4.7,Chennai,Luxury hotel,Breakfast available,Free Wi-Fi,Free parking,Kaya Kalp spa,Pools,Fitness center,Club ITC,Fine dining,14500
Taj Coromandel,4.6,Chennai,Luxury hotel,Breakfast available,Free Wi-Fi,Free parking,Spa,Pool,Fitness center,Fine dining,Club lounge,13000
Park Hyatt Chennai,4.6,Chennai,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Infinity pool,Spa,Fitness center,Cooking studio,Event spaces,12500
The Leela Palace Chennai,4.7,Chennai,Luxury beach hotel,Breakfast available,Free Wi-Fi,Free parking,Infinity pool,Spa,Sea view lounge,Fitness center,Butler service,15000
Novotel Chennai OMR,4.4,Chennai,4-star hotel,Breakfast available,Free Wi-Fi,Free parking,Infinity pool,Gym,Kids play,Meeting rooms,Bar,8500
Feathers A Radha Hotel,4.5,Chennai,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Rooftop bar,Spa,Pool,Fitness center,Event halls,9500
Taj Falaknuma Palace,4.9,Hyderabad,Heritage palace hotel,Free breakfast,Free Wi-Fi,Free parking,Palace tour,Jiva spa,Heritage walk,Horse carriage,Fine dining,32000
ITC Kohenur Hyderabad,4.6,Hyderabad,Luxury hotel,Breakfast available,Free Wi-Fi,Free parking,Kaya Kalp spa,Pool,Fitness center,Club ITC,Event spaces,14000
Park Hyatt Hyderabad,4.6,Hyderabad,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Spa,Infinity pool,Fitness center,Salon,Event halls,13500
Novotel Hyderabad Airport,4.4,Hyderabad,Airport hotel,Breakfast available,Free Wi-Fi,Free parking,Free airport shuttle,Pool,Spa,Fitness center,Kids play,11000
Trident Hyderabad,4.6,Hyderabad,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Infinity pool,Spa,Fitness center,Executive lounge,Event halls,13000
Le Meridien Hyderabad,4.4,Hyderabad,5-star hotel,Breakfast available,Free Wi-Fi,Free parking,Rooftop pool,Spa,Fitness center,Bar,Meeting rooms,11500
